Id,Label,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
637,Yield Guild Games,"Quezon, Quezon City, Philippines",Active,For Profit,29.0,5.0,,,3.0,24.0,"Community and Lifestyle, Gaming, Other","Blockchain, Communities, Video Games",5.0,,2021-09-01,,,,Venture - Series Unknown,Venture - Series Unknown,,,,22400000.0,USD,22400000.0,,109.023,"115,085.5",388.0,,,,"Animoca Brands, Andreessen Horowitz, BlockTower Capital, BITKRAFT Ventures, Infinity Ventures Crypto"
638,ESO Fund,"San Mateo, California, United States",Active,For Profit,75.0,1.0,15.0,59.0,,,"Financial Services, Lending and Investments","Angel Investment, Financial Services, Funding Platform, Venture Capital",,,,,,,,,,,,,,,,19.214,"15,158.83",64.0,,,,
639,Azure Capital Partners,"San Francisco, California, United States",Active,,167.0,36.0,33.0,39.0,,,"Financial Services, Lending and Investments","Angel Investment, Finance, Financial Services, Impact Investing, Venture Capital",,,,,,,,,,,,,,,,2.773,1.416,31.0,254520.0,USD,254520.0,
640,Antares Capital,"Miami, Florida, United States",Active,,16.0,4.0,1.0,5.0,,,"Financial Services, Lending and Investments","Financial Services, Impact Investing, Venture Capital",1.0,,2015-03-05,60000000.0,USD,60000000.0,Debt Financing,,,,,60000000.0,USD,60000000.0,,,,,,,,
641,Jochen Engert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,Better Capital,"Santa Clara, California, United States",Active,For Profit,107.0,29.0,,1.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,5.699,"7,601.5",101.0,,,,
643,JP Morgan Chase,"New York, New York, United States",Active,For Profit,172.0,76.0,20.0,57.0,,,"Financial Services, Lending and Investments","Asset Management, Banking, Financial Services",1.0,IPO,2019-04-18,3000000.0,USD,3000000.0,Grant,,,,,3000000.0,USD,3000000.0,37.0,"1,548,667","1,872,021.67",258.0,13134718230.0,USD,13134718230.0,
644,Kleiner Perkins,"Menlo Park, California, United States",Active,,1.337,380.0,155.0,313.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Incubators, Venture Capital",,,,,,,,,,,,,,,,17.792,20.063,483.0,,,,
645,Ulu Ventures,"Palo Alto, California, United States",Active,,211.0,20.0,130.0,33.0,,,"Financial Services, Information Technology, Lending and Investments","Financial Services, FinTech, Information Technology, Venture Capital",,,,,,,,,,,,,,,,2.673,"2,838.67",68.0,,,,
646,Piyush Dhanuka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,MassMutual Ventures Southeast Asia (MMV SEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Homebound,"Santa Rosa, California, United States",Active,For Profit,,,,,4.0,17.0,"Design, Real Estate","Architecture, Construction, Home Improvement, Home Renovation, Interior Design",6.0,Seed,2022-03-25,182000.0,USD,182000.0,Angel,Angel,182000.0,USD,182000.0,128383078.0,USD,128383078.0,,75.336,21.209,27.0,,,,"Gaingels, Goldman Sachs, GV, Fifth Wall, Craft Ventures"
649,Airbus,"Blagnac, Midi-Pyrenees, France",Active,For Profit,4.0,1.0,,2.0,,,"Government and Military, Science and Engineering, Transportation","Aerospace, National Security, Space Travel",,IPO,,,,,,,,,,,,,24.0,"1,796,732","2,219,417.33",630.0,,,,
650,Rev.com,"San Francisco, California, United States",Active,For Profit,,,,,1.0,4.0,"Apps, Artificial Intelligence, Data and Analytics, Mobile, Science and Engineering, Software","Artificial Intelligence, Developer APIs, Mobile Apps, Software, Speech Recognition",4.0,Late Stage Venture,2017-07-01,5900000.0,USD,5900000.0,Series D,Series D,5900000.0,USD,5900000.0,30500000.0,USD,30500000.0,2.0,"7,494,733","5,194,490.17",1.421,174357.0,USD,174357.0,"Bessemer Venture Partners, Globespan Capital Partners, Craig Sherman, Austin Ligon"
651,gumi Cryptos Capital (gCC),"San Francisco, California, United States",Active,For Profit,44.0,11.0,4.0,1.0,,,"Financial Services, Lending and Investments, Other, Payments, Software","Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,,1,"2,801.33",0.0,,,,
652,CircleCI,"San Francisco, California, United States",Active,For Profit,,,,,8.0,23.0,"Information Technology, Internet Services, Software","Cloud Computing, Developer Tools, Information Technology, PaaS, Productivity Tools, SaaS, Software",11.0,,2021-10-01,,,,Venture - Series Unknown,Venture - Series Unknown,,,,315000000.0,USD,315000000.0,30.0,"2,264,491","2,326,643.17",883.0,,,,"500 Startups, DCVC, Scale Venture Partners, Threshold, Institutional Venture Partners"
653,Autotech Ventures,"Menlo Park, California, United States",Active,,58.0,21.0,11.0,7.0,3.0,3.0,"Financial Services, Lending and Investments, Professional Services, Transportation","Business Development, Financial Services, Transportation, Venture Capital",3.0,,2022-02-09,15000000.0,USD,15000000.0,Corporate Round,Corporate Round,15000000.0,USD,15000000.0,30000000.0,USD,30000000.0,,166,1.43,33.0,,,,"American Axle & Manufacturing, Volvo Group Venture Capital, Allison Transmission Holdings"
654,The Westly Group,"Menlo Park, California, United States",Active,,90.0,21.0,7.0,19.0,,,"Financial Services, Lending and Investments, Sustainability","CleanTech, Venture Capital",,,,,,,,,,,,,,,1.0,5.243,,163.0,162488.0,USD,162488.0,
655,Miles Reidy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,White Venture Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,Jon Oringer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Japan Post Holdings,"Tokyo, Tokyo, Japan",Active,For Profit,1.0,1.0,,1.0,,,"Financial Services, Lending and Investments","Banking, Finance, Insurance",,IPO,,,,,,,,,,,,,,"56,763,701","36,613,002.5",548.0,,,,
659,Sound Ventures,"Beverly Hills, California, United States",Active,,168.0,12.0,32.0,17.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,22.874,"7,211.83",16.0,,,,
660,KR1,"Douglas, NA - Isle of Man, Isle of Man",Active,For Profit,32.0,14.0,3.0,1.0,,,"Financial Services, Lending and Investments, Other","Asset Management, Blockchain, Finance, Hedge Funds, Venture Capital",,,,,,,,,,,,,,,1.0,3.185,"2,299.17",151.0,,,,
661,Sean Breuner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,DocuSign,"San Francisco, California, United States",Active,For Profit,6.0,1.0,1.0,2.0,12.0,52.0,"Consumer Electronics, Hardware, Information Technology, Internet Services, Privacy and Security, Software","Cloud Management, Computer, E-Signature, Information Technology, SaaS, Software",20.0,IPO,2017-06-13,,,,Secondary Market,Series F,300000000.0,USD,300000000.0,536199999.0,USD,536199999.0,58.0,"44,835,039","42,023,309.67",700.0,209327138.0,USD,209327138.0,"Microsoft, Insight Partners, GV, Accel, Visa"
663,Griffin Gaming Partners,"Los Angeles, San Luis Potosi, Mexico",Active,,31.0,11.0,,3.0,,,"Financial Services, Gaming","Finance, Financial Services, Gaming",,,,,,,,,,,,,,,,10.796,"5,888.5",623.0,,,,
664,Paxos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,Base Ventures,"Berkeley, California, United States",Active,,108.0,7.0,37.0,21.0,,,"Financial Services, Lending and Investments",Venture Capital,,,,,,,,,,,,,,,,,,,,,,
666,FJ Labs,"New York, New York, United States",Active,,602.0,25.0,75.0,56.0,,,"Commerce and Shopping, Financial Services, Lending and Investments, Other","Consumer, Financial Services, Marketplace, Venture Capital",,,,,,,,,,,,,,,,7.892,"3,167.5",0.0,,,,
667,BBVA Ventures,"San Francisco, California, United States",Closed,For Profit,12.0,3.0,1.0,6.0,,,"Financial Services, Lending and Investments","Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,,,,,,,,
668,Cruise,"San Francisco, California, United States",Active,For Profit,,,,,9.0,46.0,"Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software, Transportation","Artificial Intelligence, Automotive, Autonomous Vehicles, Robotics, Software, Transportation",13.0,M&A,2022-03-18,2100000000.0,USD,2100000000.0,Secondary Market,Corporate Round,1350000000.0,USD,1350000000.0,15118800000.0,USD,15118800000.0,11.0,203.634,"197,572.5",228.0,3812640.0,USD,3812640.0,"Microsoft, Spark Capital, Y Combinator, Initialized Capital, SoftBank Vision Fund"
669,ICONIQ Growth,"San Francisco, California, United States",Active,,45.0,22.0,6.0,2.0,,,"Financial Services, Lending and Investments, Professional Services","Business Development, Finance, Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,,16.011,"9,671.33",6.0,,,,
670,Israel Growth Partners,"Ramat Hasharon, Tel Aviv, Israel",Active,,24.0,19.0,,6.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,,,,,,,
671,Revels Group Ventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,Obsidian Security,"Newport Beach, California, United States",Active,For Profit,,,,,5.0,6.0,"Consumer Electronics, Hardware, Information Technology, Privacy and Security, Software","Computer, Cyber Security, Network Security, SaaS",3.0,Late Stage Venture,2022-03-31,90000000.0,USD,90000000.0,Series C,Series C,90000000.0,USD,90000000.0,119500000.0,USD,119500000.0,3.0,25.428,"7,199.33",774.0,118827.0,USD,118827.0,"Greylock, Norwest Venture Partners, GV, Menlo Ventures, Wing Venture Capital"
673,Optum Ventures,"Boston, Massachusetts, United States",Active,,70.0,25.0,17.0,4.0,,,"Financial Services, Health Care, Lending and Investments","Finance, Financial Services, Health Care, Impact Investing, Venture Capital",,,,,,,,,,,,,,,,511,"2,730.83",131.0,,,,
674,Novartis,"Basel, Basel-Stadt, Switzerland",Active,For Profit,56.0,13.0,11.0,21.0,1.0,1.0,"Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Medical, Pharmaceutical",1.0,IPO,2018-02-14,6500000.0,USD,6500000.0,Grant,,,,,6500000.0,USD,6500000.0,19.0,703.892,"526,561.33",831.0,3681848.0,USD,3681848.0,Bill & Melinda Gates Foundation
675,Woodford Investment Management,"Oxford, Oxfordshire, United Kingdom",Active,,60.0,26.0,5.0,16.0,,,Financial Services,"Finance, Financial Services",,,,,,,,,,,,,,,,554,,0.0,,,,
676,Stanza Living,"New Delhi, Delhi, India",Active,For Profit,,,,,8.0,14.0,"Information Technology, Other, Real Estate, Travel and Tourism","Home Services, Hospitality, Information Technology, Rental Property, Sharing Economy",7.0,Late Stage Venture,2022-03-23,4250000000.0,INR,55518002.0,Debt Financing,Series D,102000000.0,USD,102000000.0,227693327.0,USD,227693327.0,,706.889,417.155,83.0,,,,"Sequoia Capital, Matrix Partners, RBL Bank, Accel, Sequoia Capital India"
677,Techstars Los Angeles Accelerator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,Fusion Fund,"Palo Alto, California, United States",Active,,89.0,17.0,18.0,10.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,3.423,2.599,0.0,,,,
679,Omada Health,"San Francisco, California, United States",Active,For Profit,,,,,8.0,30.0,Health Care,"Health Care, Medical, Therapeutics, Wellness",10.0,Late Stage Venture,2022-02-23,192000000.0,USD,192000000.0,Series E,Series E,192000000.0,USD,192000000.0,448520000.0,USD,448520000.0,2.0,"2,247,491",668.476,665.0,776993.0,USD,776993.0,"Humana, Andreessen Horowitz, Norwest Venture Partners, Kaiser Permanente, Founder Collective"
680,Tikehau Capital,"Paris, Ile-de-France, France",Active,,124.0,102.0,,57.0,1.0,1.0,"Financial Services, Lending and Investments",Venture Capital,1.0,Private Equity,2019-05-20,,,,Private Equity,Private Equity,,,,,,,,35.926,"64,068.5",80.0,,,,Morgan Stanley
681,Current,"New York, New York, United States",Active,For Profit,,,,,5.0,20.0,"Financial Services, Lending and Investments","Banking, Finance, Financial Services, FinTech",8.0,Late Stage Venture,2021-04-27,220000000.0,USD,220000000.0,Series D,Series D,220000000.0,USD,220000000.0,405690000.0,USD,405690000.0,,"11,635,039","2,267,053.83",1.141,259929.0,USD,259929.0,"Andreessen Horowitz, Tiger Global Management, QED Investors, Bienville Capital, Avenir Growth Capital"
682,Stellar Development Foundation,"San Francisco, California, United States",Active,Non-profit,15.0,7.0,2.0,1.0,,1.0,"Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency, FinTech, Non Profit, Payments",1.0,Seed,2014-08-01,3000000.0,USD,3000000.0,Seed,Seed,3000000.0,USD,3000000.0,3000000.0,USD,3000000.0,2.0,699.21,"589,269.67",452.0,,,,Stripe
683,Neuron23,"San Francisco, California, United States",Active,,,,,,4.0,10.0,Health Care,"Health Care, Medical, Pharmaceutical",4.0,Late Stage Venture,2022-03-30,100000000.0,USD,100000000.0,Series C,Series C,100000000.0,USD,100000000.0,213500000.0,USD,213500000.0,,4.402,,24.0,,,,"SoftBank Vision Fund, Perceptive Advisors, Kleiner Perkins, Redmile Group, Surveyor Capital"
684,Altibbi,"Dubai, Dubai, United Arab Emirates",Active,For Profit,,,,,6.0,10.0,"Apps, Health Care, Software, Sports","Apps, Fitness, Health Care",4.0,Early Stage Venture,2022-03-28,44000000.0,USD,44000000.0,Series B,Series B,44000000.0,USD,44000000.0,52500000.0,USD,52500000.0,1.0,"12,754,729","9,470,793",521.0,,,,"Global Ventures, Endeavor Catalyst, Bossa Nova Investimentos, Hikma Ventures, DASH Ventures"
685,Massachusetts Institute of Technology,"Cambridge, Massachusetts, United States",Active,For Profit,18.0,6.0,1.0,2.0,5.0,6.0,"Education, Other","Education, Higher Education, Universities",8.0,,2020-01-30,65000.0,USD,65000.0,Grant,,,,,1095955000.0,USD,1095955000.0,17.0,,,,49678.0,USD,49678.0,"Massachusetts Life Sciences Center, Massachusetts Clean Energy Center, U.S. Food and Drug Administration, Stephen Schwarzman, Ludwig Cancer Research"
686,New Era Capital Partners,"Tel Aviv, Tel Aviv, Israel",Active,,20.0,6.0,3.0,1.0,,,"Financial Services, Information Technology, Lending and Investments","Financial Services, Information Technology, Venture Capital",,,,,,,,,,,,,,,,847,,12.0,,,,
687,Threshold,"Menlo Park, California, United States",Active,,877.0,217.0,101.0,196.0,,,"Financial Services, Lending and Investments, Professional Services","Business Development, Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,1.0,3.965,"4,533.83",0.0,,,,
688,Reverence Capital Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,SIDE Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,Jerusalem Venture Partners (JVP),"Jerusalem, Yerushalayim, Israel",Active,,226.0,92.0,7.0,53.0,,,"Financial Services, Information Technology, Lending and Investments, Privacy and Security","Cyber Security, FinTech, Venture Capital",,,,,,,,,,,,,,,1.0,11.511,"5,595.17",40.0,,,,
691,Gojek,"Jakarta, Jakarta Raya, Indonesia",Active,For Profit,13.0,10.0,,2.0,15.0,35.0,"Apps, Commerce and Shopping, Financial Services, Food and Beverage, Payments, Software, Transportation","Consumer Applications, E-Commerce, Food Delivery, Logistics, Payments, Transportation",13.0,,2021-05-10,300000000.0,USD,300000000.0,Corporate Round,Corporate Round,300000000.0,USD,300000000.0,5293000000.0,USD,5293000000.0,3.0,43.012,"65,241.67",177.0,,,,"Warburg Pincus, Tencent, Meta, Google, Meituan"
692,Technology Venture Investors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,Oculus,"Menlo Park, California, United States",Active,For Profit,,,,,3.0,10.0,"Consumer Electronics, Gaming, Hardware, Information Technology, Software","Augmented Reality, Consumer Electronics, Hardware, Video Games, Virtual Reality, Virtualization",5.0,M&A,2019-08-13,2437429.0,USD,2437429.0,Equity Crowdfunding,Equity Crowdfunding,2437429.0,USD,2437429.0,98387429.0,USD,98387429.0,27.0,"26,454,823","27,678,594.83",634.0,5845420.0,USD,5845420.0,"Andreessen Horowitz, Spark Capital, Matrix Partners, Founders Fund, Formation 8"
694,Decentraland,"Beijing, Beijing, China",Active,For Profit,,,,,,9.0,"Consumer Electronics, Hardware, Other, Software","3D Technology, Blockchain, Computer, Software, Virtual Reality",4.0,,2021-11-18,,,,Secondary Market,Venture - Series Unknown,,,,25500000.0,USD,25500000.0,1.0,"2,024,114","2,676,275",981.0,,,,"Broslyn Capital, Animoca Brands, Digital Currency Group, Fabric Ventures, Fundamental Labs"
695,BNY Mellon,"New York, New York, United States",Active,For Profit,32.0,6.0,2.0,4.0,,,"Financial Services, Lending and Investments","Asset Management, Banking, Finance, Financial Services",1.0,IPO,2013-10-03,1948000000.0,USD,1948000000.0,Post-IPO Debt,,,,,1948000000.0,USD,1948000000.0,24.0,510.567,"508,803.83",260.0,,,,
696,August Capital,"Menlo Park, California, United States",Active,,280.0,101.0,44.0,78.0,,,"Financial Services, Lending and Investments","Financial Services, Impact Investing, Venture Capital",,,,,,,,,,,,,,,1.0,2.497,"3,273.5",17.0,164061.0,USD,164061.0,
697,Shadowfax,"Bangalore, Karnataka, India",Active,For Profit,,,,,4.0,13.0,"Commerce and Shopping, Internet Services, Transportation","Delivery Service, E-Commerce, Internet, Logistics, Supply Chain Management",6.0,Late Stage Venture,2019-12-05,60000000.0,USD,60000000.0,Series D,Series D,60000000.0,USD,60000000.0,119680000.0,USD,119680000.0,1.0,956.564,924.404,551.0,,,,"Flipkart, Mirae Asset Global Investments, Qualcomm Ventures, International Finance Corporation, Eight Roads Ventures"
698,Vestiaire Collective,"Paris, Ile-de-France, France",Active,For Profit,1.0,,,,11.0,18.0,"Clothing and Apparel, Commerce and Shopping, Design, Internet Services","E-Commerce, E-Commerce Platforms, Fashion, Marketplace, Social Shopping",10.0,Late Stage Venture,2021-09-22,178000000.0,EUR,208033603.0,Series I,Series I,178000000.0,EUR,208033603.0,683606685.0,USD,683606685.0,,"4,558,020","2,761,310.67",469.0,,,,"Bpifrance, Eurazeo, Tiger Global Management, SoftBank Vision Fund, Vitruvian Partners"
699,IDEO CoLab Ventures,"Cambridge, Massachusetts, United States",Active,,33.0,6.0,,,,,,,,,,,,,,,,,,,,,,11.329,"5,519.33",887.0,,,,
700,DIRECTV,"El Segundo, California, United States",Active,For Profit,4.0,1.0,,1.0,,,"Media and Entertainment, Sports, Video","Digital Entertainment, Film, Sports",,M&A,,,,,,,,,,,,,1.0,,,,,,,
701,Kapor Capital,"Oakland, California, United States",Active,,241.0,27.0,119.0,50.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,3.0,9.871,"5,969.17",21.0,,,,
702,Madrona Venture Group,"Seattle, Washington, United States",Active,,444.0,159.0,54.0,92.0,,,"Financial Services, Lending and Investments","Angel Investment, Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,4.0,316,"7,821.67",41.0,47544.0,USD,47544.0,
703,Carlson Private Capital Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Orange,"Paris, Ile-de-France, France",Active,For Profit,17.0,4.0,,5.0,1.0,1.0,,,1.0,IPO,2019-12-09,700000000.0,EUR,774445082.0,Post-IPO Debt,,,,,700000000.0,EUR,774445082.0,46.0,"1,129,904","1,276,851.5",819.0,,,,European Investment Bank
705,GSR Ventures,"Palo Alto, California, United States",Active,,347.0,96.0,27.0,22.0,,,"Artificial Intelligence, Data and Analytics, Financial Services, Lending and Investments, Professional Services, Science and Engineering, Software","Artificial Intelligence, Business Development, Finance, Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,,,,,,,,
706,Hycroft Mining,"Winnemucca, Nevada, United States",Active,For Profit,,,,,2.0,2.0,"Natural Resources, Sustainability","Mining, Natural Resources, Precious Metals",3.0,IPO,2022-03-25,138600000.0,USD,138600000.0,Post-IPO Equity,Post-IPO Equity,138600000.0,USD,138600000.0,280850000.0,USD,280850000.0,,53.32,"10,973.33",113.0,,,,"AMC Theatres, Eric Sprott"
707,U.S. Department of Health & Human Services,"Washington, District of Columbia, United States",Active,For Profit,48.0,25.0,2.0,9.0,,,"Government and Military, Health Care","Government, Health Care, Wellness",,,,,,,,,,,,,,,,"8,275,151","7,776,853",550.0,,,,
708,Bolt,"Tallinn, Harjumaa, Estonia",Active,For Profit,,,,,9.0,33.0,"Apps, Food and Beverage, Mobile, Software, Transportation","Car Sharing, Food Delivery, Last Mile Transportation, Mobile Apps, Transportation",14.0,Late Stage Venture,2022-01-11,628000000.0,EUR,713784798.0,Series F,Series F,628000000.0,EUR,713784798.0,2043025562.0,USD,2043025562.0,3.0,"5,559,264","4,812,815.17",362.0,,,,"Sequoia Capital, Daimler, Startup Wise Guys, Creandum, Didi"
709,Unqork,"New York, New York, United States",Active,For Profit,,,,,4.0,24.0,"Apps, Financial Services, Other, Software","Enterprise, Enterprise Applications, Financial Services, Insurance, Productivity Tools, SaaS, Software",6.0,,2021-01-01,,,,Venture - Series Unknown,Venture - Series Unknown,,,,365169951.0,USD,365169951.0,1.0,91.635,"48,022.83",114.0,6039993.0,USD,6039993.0,"Goldman Sachs, Broadridge, BlackRock, HOF Capital, Fin Venture Capital"
710,Spring Health,"New York, New York, United States",Active,For Profit,,,,,5.0,22.0,"Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence, Health Care, Machine Learning, Outpatient Care",7.0,,2022-03-01,,,,Venture - Series Unknown,Venture - Series Unknown,,,,295500000.0,USD,295500000.0,,119.203,"69,882.67",1.657,,,,"Tiger Global Management, RRE Ventures, Operator Partners, Northzone, AlleyCorp"
711,OYO,"Gurgaon, Haryana, India",Active,For Profit,1.0,,,,12.0,28.0,Travel and Tourism,"Hospitality, Travel, Travel Accommodations",22.0,Late Stage Venture,2022-01-13,2300000000.0,INR,31092655.0,Secondary Market,Series F,5000000.0,USD,5000000.0,3076477508.0,USD,3076477508.0,1.0,"3,353,272","4,076,121.33",529.0,,,,"SoftBank, Microsoft, Airbnb, Grab, SoftBank Vision Fund"
712,Inc.,"Enschede, Overijssel, The Netherlands",Active,For Profit,,,,,,,"Advertising, Sales and Marketing","Advertising, Brand Marketing, Marketing",,,,,,,,,,,,,,,,,,,,,,
713,Intercom,"San Francisco, California, United States",Active,For Profit,,,,,5.0,33.0,"Apps, Information Technology, Internet Services, Messaging and Telecommunications, Other, Professional Services, Sales and Marketing, Software","Apps, CRM, Customer Service, Marketing Automation, Messaging, SaaS, Sales Automation, Software",8.0,Late Stage Venture,2021-01-30,,,,Secondary Market,Series D,125000000.0,USD,125000000.0,240750000.0,USD,240750000.0,40.0,"57,662,140","12,835,285.17",1.247,1708333.0,USD,1708333.0,"500 Startups, GV, Index Ventures, Bessemer Venture Partners, Vulcan Capital"
714,Encore Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,MUFG Bank,"Tokyo, Tokyo, Japan",Active,For Profit,56.0,13.0,2.0,19.0,,,"Financial Services, Lending and Investments","Banking, Finance, Financial Services",,,,,,,,,,,,,,,,,,,,,,
716,InnoVen Capital,"Mumbai, Maharashtra, India",Active,,196.0,144.0,2.0,33.0,,,Financial Services,"Finance, FinTech",,M&A,,,,,,,,,,,,,,2.875,,857.0,,,,
717,FTX US,"San Francisco, California, United States",Active,For Profit,1.0,1.0,,,4.0,12.0,"Financial Services, Lending and Investments, Payments, Software","Bitcoin, Cryptocurrency, Trading Platform",1.0,Early Stage Venture,2022-01-26,400000000.0,USD,400000000.0,Series A,Series A,400000000.0,USD,400000000.0,400000000.0,USD,400000000.0,1.0,"12,091,830","8,838,444.17",458.0,,,,"Tribe Capital, Temasek Holdings, Paradigm, Lightspeed Venture Partners, Bond"
718,NYSERDA,"Albany, New York, United States",Active,,1.015,9.0,37.0,93.0,,,Energy,Energy,,,,,,,,,,,,,,,4.0,,,,49944327.0,USD,49944327.0,
719,Elliott Management,"New York, New York, United States",Active,,33.0,18.0,3.0,18.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Hedge Funds",,,,,,,,,,,,,,,,21.09,"15,562.17",69.0,29252.0,USD,29252.0,
720,Cevian Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,MassVentures,"Boston, Massachusetts, United States",Active,,271.0,26.0,36.0,65.0,1.0,1.0,"Information Technology, Media and Entertainment, Privacy and Security","Information Technology, Media and Entertainment, Security",1.0,,2020-09-16,1000000.0,USD,1000000.0,Grant,,,,,1000000.0,USD,1000000.0,1.0,276,"2,109.5",0.0,909289.0,USD,909289.0,"US Department of Commerce, Economic Development Administation"
722,VC4A,"Amsterdam, Noord-Holland, The Netherlands",Active,For Profit,4.0,1.0,,,,,"Financial Services, Internet Services, Lending and Investments, Media and Entertainment, Mobile","Finance, Internet, Mobile, Social Media, Venture Capital",3.0,,2015-02-03,,,,Venture - Series Unknown,Venture - Series Unknown,,,,2000000.0,USD,2000000.0,7.0,14.582,"74,729.5",468.0,,,,
723,Cyberpion,"Tel Aviv-yafo, Tel Aviv, Israel",Active,For Profit,,,,,3.0,3.0,"Consumer Electronics, Hardware, Information Technology, Privacy and Security, Software","Cloud Security, Computer, Cyber Security, Enterprise Software, Network Security",2.0,Early Stage Venture,2022-03-30,27000000.0,USD,27000000.0,Series A,Series A,27000000.0,USD,27000000.0,35250000.0,USD,35250000.0,,2.892,2.661,698.0,,,,"Team8, U.S. Venture Partners, Hyperwise Ventures"
724,Matrix Partners China,"Beijing, Beijing, China",Active,,633.0,206.0,7.0,42.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,1.665,"3,281.83",0.0,,,,
725,91springboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,LAUNCH,"San Francisco, California, United States",Active,For Profit,441.0,101.0,103.0,40.0,,,"Content and Publishing, Events, Financial Services, Lending and Investments, Media and Entertainment, Sales and Marketing","Digital Media, Email Marketing, Events, Incubators, News, Venture Capital",,,,,,,,,,,,,,,9.0,13.271,"7,996.33",274.0,,,,
727,Workday,"Pleasanton, California, United States",Active,For Profit,6.0,1.0,1.0,3.0,6.0,8.0,"Administrative Services, Software","Enterprise Software, Human Resources, SaaS, Software",6.0,IPO,2011-10-24,85000000.0,USD,85000000.0,Series F,Series F,85000000.0,USD,85000000.0,230550000.0,USD,230550000.0,39.0,"6,907,167","5,777,959.67",898.0,333167560.0,USD,333167560.0,"Morgan Stanley, Greylock, Kalaari Capital, T. Rowe Price, New Enterprise Associates"
728,SOFTBANK Latin America Ventures,"Miami, Florida, United States",Closed,For Profit,50.0,38.0,2.0,5.0,,,"Financial Services, Information Technology, Lending and Investments","Financial Services, Information Technology, Venture Capital",,,,,,,,,,,,,,,,451,"1,305.67",51.0,,,,
729,OneCode,"Bengaluru, Karnataka, India",Active,,,,,,4.0,34.0,"Financial Services, Sales and Marketing","Digital Marketing, FinTech, Sales",4.0,Early Stage Venture,2022-03-31,13000000.0,USD,13000000.0,Series A,Series A,13000000.0,USD,13000000.0,18000000.0,USD,18000000.0,,19.216,"11,916.83",51.0,,,,"General Catalyst, Nexus Venture Partners, Surge, Kunal Shah, Sujeet Kumar"
730,Steadview Capital,"London, England, United Kingdom",Active,,67.0,27.0,2.0,10.0,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,420,,2.014,,,,
